"","year","geography","grade","N","vax","value","percent_surveyed","survey_type"
"75","2015-16","Indiana","Kindergarten",83525,"hep_b","90.3",69.5,"Voluntary response"
"76","2014-15","Indiana","Kindergarten",85477,"hep_b","90.3",70.1,"Voluntary response"
"77","2016-17","Indiana","Kindergarten",83263,"hep_b","90.2",80.3,"Voluntary response"
"78","2017-18","Indiana","Kindergarten",84296,"hep_b","92.8",96.4,"Voluntary Response"
"79","2013-14","Indiana","Kindergarten",87193,"hep_b","97.1",70.3,"Voluntary response"
"80","2012-13","Indiana","Kindergarten",86983,"hep_b","95.6",83.4,"Voluntary Response"
"81","2010-11","Indiana","Kindergarten",NA,"hep_b",NA,NA,NA
"82","2011-12","Indiana","Kindergarten",83416,"hep_b","93.2",67.5,"Voluntary Response"
"83","2010-11","Indiana","Kindergarten",NA,"varicella",NA,NA,NA
"84","2009-10","Indiana","Kindergarten",84390,"varicella","96.0",94.7,"Census"
"85","2009-10","Indiana","Kindergarten",84390,"hep_b","95.2",94.7,"Census"
"86","2021-22","Indiana","Kindergarten",83198,"varicella","91.7",75.1,"Vol. response"
"87","2016-17","Indiana","Kindergarten",83263,"varicella","87.9",80.3,"Voluntary response"
"88","2018-19","Indiana","Kindergarten",82324,"varicella","93.5",96.4,"Census"
"89","2017-18","Indiana","Kindergarten",84296,"varicella","90.2",96.4,"Voluntary Response"
"90","2019-20","Indiana","Kindergarten",88253,"varicella","94.0",65.7,"Voluntary response"
"91","2020-21","Indiana","Kindergarten",78694,"varicella","92.8",71.4,"Voluntary response"
"92","2022-23","Maryland","Kindergarten",59684,"mmr","96.7",100,"Census"
"93","2022-23","Maryland","Kindergarten",59684,"dtap","96.9",100,"Census"
"94","2022-23","Maryland","Kindergarten",59684,"varicella","NReq",100,"Census"
"95","2022-23","Maryland","Kindergarten",59684,"hep_b","97.0",100,"Census"
"96","2022-23","Maryland","Kindergarten",59684,"varicella","96.6",100,"Census"
"97","2022-23","Maryland","Kindergarten",59684,"polio","97.2",100,"Census"
"98","2022-23","Maryland","Kindergarten",59684,"varicella","96.6",100,"Census"
"99","2022-23","New Mexico","Kindergarten",21068,"hep_b","96.5",100,"Census"
"100","2022-23","New Mexico","Kindergarten",21068,"dtap","94.7",100,"Census"
"101","2022-23","New Mexico","Kindergarten",21068,"varicella","NReq",100,"Census"
"102","2022-23","New Mexico","Kindergarten",21068,"mmr","94.9",100,"Census"
"103","2022-23","New Mexico","Kindergarten",21068,"varicella","94.4",100,"Census"
"104","2022-23","New Mexico","Kindergarten",21068,"polio","95.0",100,"Census"
"105","2022-23","New Mexico","Kindergarten",21068,"varicella","94.4",100,"Census"
"106","2009-10","New Mexico","Kindergarten",26318,"dtap","99.0",2.2,"Random sample"
"107","2021-22","New Mexico","Kindergarten",20736,"mmr","94.3",100,"Census"
"108","2018-19","New Mexico","Kindergarten",25269,"mmr","96.1",99.6,"Census"
"109","2017-18","New Mexico","Kindergarten",26896,"mmr","94.8",99.6,"Stratified 2-stage cluster sample"
"110","2020-21","New Mexico","Kindergarten",20589,"mmr","95.7",100,"Census"
"111","2019-20","New Mexico","Kindergarten",23087,"mmr","97.0",100,"Census"
"112","2015-16","New Mexico","Kindergarten",29049,"mmr","96.2",2.7,"Stratified 2-stage cluster sample"
"113","2016-17","New Mexico","Kindergarten",27119,"mmr","95.5",4.5,"Stratified 2-stage cluster sample"
"114","2021-22","New Mexico","Kindergarten",20736,"varicella","93.6",100,"Census"
"115","2020-21","New Mexico","Kindergarten",20589,"varicella","95.3",100,"Census"
"116","2009-10","New Mexico","Kindergarten",26318,"hep_b","99.1",2.2,"Random sample"
"117","2021-22","New Mexico","Kindergarten",20736,"varicella","93.6",100,"Census"
"118","2011-12","New Mexico","Kindergarten",29159,"hep_b","97.3",2,"2-stage Cluster Sample"
"119","2010-11","New Mexico","Kindergarten",NA,"hep_b",NA,NA,NA
"120","2012-13","New Mexico","Kindergarten",29279,"hep_b","96.2",3.3,"2-stage Cluster Sample"
"121","2013-14","New Mexico","Kindergarten",30725,"hep_b","97.2",2.7,"Stratified  2-stage cluster sample"
"122","2016-17","New Mexico","Kindergarten",27119,"hep_b","95.4",4.5,"Stratified 2-stage cluster sample"
"123","2017-18","New Mexico","Kindergarten",26896,"hep_b","96.0",99.6,"Stratified 2-stage cluster sample"
"124","2014-15","New Mexico","Kindergarten",29918,"hep_b","98.7",3.3,"Stratified 2-stage cluster sample"
"125","2015-16","New Mexico","Kindergarten",29049,"hep_b","97.0",2.7,"Stratified 2-stage cluster sample"
"126","2019-20","New Mexico","Kindergarten",23087,"hep_b","97.7",100,"Census"
"127","2018-19","New Mexico","Kindergarten",25269,"hep_b","96.8",99.6,"Census"
"128","2020-21","New Mexico","Kindergarten",20589,"hep_b","96.9",100,"Census"
"129","2021-22","New Mexico","Kindergarten",20736,"hep_b","93.7",100,"Census"
"130","2009-10","New Mexico","Kindergarten",26318,"polio","99.3",2.2,"Random sample"
"131","2010-11","New Mexico","Kindergarten",NA,"polio",NA,NA,NA
"132","2011-12","New Mexico","Kindergarten",29159,"polio","97.6",2,"2-stage Cluster Sample"
"133","2009-10","New Mexico","Kindergarten",26318,"mmr","97.6",2.2,"Random sample"
"134","2010-11","New Mexico","Kindergarten",NA,"mmr",NA,NA,NA
"135","2011-12","New Mexico","Kindergarten",29159,"mmr","95.7",2,"2-stage Cluster Sample"
"136","2012-13","New Mexico","Kindergarten",29279,"mmr","93.9",3.3,"2-stage Cluster Sample"
"137","2013-14","New Mexico","Kindergarten",30725,"mmr","95.9",2.7,"Stratified  2-stage cluster sample"
"138","2014-15","New Mexico","Kindergarten",29918,"mmr","97.7",3.3,"Stratified 2-stage cluster sample"
"139","2010-11","New Mexico","Kindergarten",NA,"dtap",NA,NA,NA
"140","2011-12","New Mexico","Kindergarten",29159,"dtap","96.9",2,"2-stage Cluster Sample"
"141","2012-13","New Mexico","Kindergarten",29279,"dtap","96.6",3.3,"2-stage Cluster Sample"
"142","2013-14","New Mexico","Kindergarten",30725,"dtap","97.4",2.7,"Stratified  2-stage cluster sample"
"143","2016-17","New Mexico","Kindergarten",27119,"dtap","94.8",4.5,"Stratified 2-stage cluster sample"
"144","2014-15","New Mexico","Kindergarten",29918,"dtap","96.4",3.3,"Stratified 2-stage cluster sample"
